ID,FILE_ID,Model_Name,file_path,is_test,is_Lib,SCHK_Block_count,SLDiag_Block_count,C_corpus_blk_count,C_corpus_hidden_conn,C_corpus_conn,C_corpus_hierar_depth,SubSystem_count_Top,Agg_SubSystem_count,Hierarchy_depth,LibraryLinked_Count,compiles,CComplexity,Sim_time,Compile_time,Alge_loop_Cnt,target_hw,solver_type,sim_mode,total_ConnH_cnt,total_desc_cnt,ncs_cnt,scc_cnt,unique_sfun_count,sfun_nam_count,mdlref_nam_count,unique_mdl_ref_count
1,100042416,BlankCntrlr_model.mdl,workdirtmp\DISCON_Simulink-master\Simulink_32bit\BlankCntrlr_model.mdl,-1,0,48,48,48,0,33,2,1,1,2,0,0,-1,-1,-1,-1,32-bit Generic,Fixed-step,normal,33,1,1,0,0,,,0
2,100042416,DISCON_Empty.slx,workdirtmp\DISCON_Simulink-master\Simulink_64bit\DISCON_Empty.slx,-1,0,66,66,66,0,0,1,0,0,1,0,0,-1,-1,-1,-1,32-bit Generic,Fixed-step,normal,0,0,0,0,0,,,0
3,100042416,DISCON_NREL5MW.slx,workdirtmp\DISCON_Simulink-master\Simulink_64bit\DISCON_NREL5MW.slx,-1,0,145,145,206,1,142,4,5,8,3,0,0,-1,-1,-1,-1,32-bit Generic,Fixed-step,normal,86,13,13,0,0,,,0
4,100381142,OmegaTest.slx,workdirtmp\Omega6_Simulink_Integration-master\OmegaTest.slx,-1,0,14,14,19,0,26,2,0,0,1,0,0,-1,-1,-1,-1,32-bit Generic,Fixed-step,normal,22,1,1,1,1,",OmegaInterface_1",,0
5,100999374,Arrays1V2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\Arrays1V2.mdl,-1,0,35,43,50,0,50,3,2,2,2,0,1,10,10000,0.436999917030335,0,Unspecified,Fixed-step,normal,38,3,3,0,0,,,0
6,100999374,MicrowaveCex.slx,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveCex.slx,-1,0,22,30,39,0,35,3,1,1,2,0,1,17,20,0.398999989032745,0,32-bit Generic,Fixed-step,normal,21,2,2,0,0,,,0
7,100999374,MicrowaveV2.mdl,workdirtmp\cocoSim2-master\examples\StateFlow\MicrowaveV2.mdl,-1,0,22,30,39,0,35,3,1,1,2,0,1,17,20,0.350000083446503,0,32-bit Generic,Fixed-step,normal,21,2,2,0,0,,,0
8,100999374,DaysEnum.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnum.slx,-1,0,28,36,36,0,31,4,2,3,3,0,1,0,10,0.282000064849854,0,Intel->x86-64 (Windows64),Fixed-step,normal,27,3,3,0,0,,,0
9,100999374,DaysEnumInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DaysEnumInvalid.slx,-1,0,27,35,35,0,30,4,2,3,3,0,1,0,10,0.1839998960495,0,Intel->x86-64 (Windows64),Fixed-step,normal,26,3,3,0,0,,,0
10,100999374,DoorLock.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLock.slx,-1,0,294,468,468,0,466,6,2,49,5,18,1,31,10,14.6390001177788,0,Specified,Fixed-step,normal,325,31,31,8,0,,,0
11,100999374,DoorLockCompositional.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositional.slx,-1,0,271,429,429,0,413,6,2,43,5,15,1,28,10,0.314999878406525,0,Specified,Fixed-step,normal,287,28,28,8,0,,,0
12,100999374,DoorLockCompositionalHtml.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockCompositionalHtml.slx,-1,0,271,429,429,0,413,6,2,43,5,15,1,40,10,0.300999939441681,0,Specified,Fixed-step,normal,287,28,28,8,0,,,0
13,100999374,DoorLockInvalid.slx,workdirtmp\cocoSim2-master\examples\contract\DoorLockInvalid.slx,-1,0,293,467,467,0,465,6,2,49,5,18,1,31,10,0.27999997138977,0,Specified,Fixed-step,normal,324,31,31,8,0,,,0
14,100999374,StopwatchSpec.slx,workdirtmp\cocoSim2-master\examples\contract\StopwatchSpec.slx,-1,0,159,193,193,0,182,4,3,25,4,1,1,11,20,0.274999916553497,0,Specified,Fixed-step,normal,156,24,24,3,0,,,0
15,100999374,absolute.slx,workdirtmp\cocoSim2-master\examples\contract\absolute.slx,-1,0,25,33,33,0,30,4,2,4,3,0,1,4,10,0.161999940872192,0,Specified,Variable-step,normal,24,4,4,0,0,,,0
16,100999374,bacteriaPopulation.slx,workdirtmp\cocoSim2-master\examples\contract\bacteriaPopulation.slx,-1,0,140,272,272,0,269,5,2,33,4,15,1,18,10,0.239000082015991,0,Specified,Fixed-step,normal,154,18,18,1,0,,,0
17,100999374,bacteriaPopulationDemo.slx,workdirtmp\cocoSim2-master\examples\contract\bacteriaPopulationDemo.slx,-1,0,17,31,31,0,31,3,1,2,2,1,1,4,10,0.157000005245209,0,Specified,Fixed-step,normal,20,1,1,1,0,,,0
18,100999374,bacteriaPopulationStateflow.slx,workdirtmp\cocoSim2-master\examples\contract\bacteriaPopulationStateflow.slx,-1,0,126,244,249,0,244,5,1,31,4,14,1,22,10,0.397000014781952,0,Specified,Fixed-step,normal,136,18,18,2,0,,,0
19,100999374,bacteriaPopulationTruthTable.slx,workdirtmp\cocoSim2-master\examples\contract\bacteriaPopulationTruthTable.slx,-1,0,126,244,249,0,244,5,1,31,4,14,1,25,10,0.400999963283539,0,Specified,Fixed-step,normal,136,18,18,0,0,,,0
20,100999374,AltitudeControl_Demo.slx,workdirtmp\cocoSim2-master\examples\properties\AltitudeControl_Demo.slx,-1,0,60,60,60,0,60,4,1,5,4,0,1,15,10,0.0460000038146973,0,32-bit Generic,Variable-step,normal,60,8,8,1,0,,,0
21,100999374,assumption.slx,workdirtmp\cocoSim2-master\examples\properties\assumption.slx,-1,0,45,45,45,0,45,2,2,2,2,0,1,4,10,0.031000018119812,0,32-bit Generic,Variable-step,normal,45,2,2,0,0,,,0
22,100999374,safe_1.mdl,workdirtmp\cocoSim2-master\examples\properties\safe_1.mdl,-1,0,20,20,20,0,27,2,1,1,2,0,1,4,10,0.0310000777244568,0,32-bit Generic,Variable-step,normal,27,1,1,0,0,,,0
23,100999374,safe_math_functions.slx,workdirtmp\cocoSim2-master\examples\properties\safe_math_functions.slx,-1,0,20,20,20,0,18,2,2,2,2,0,1,4,10,0.0579999685287476,0,Intel->8051 Compatible,Variable-step,normal,18,2,2,0,0,,,0
24,100999374,two_property.mdl,workdirtmp\cocoSim2-master\examples\properties\two_property.mdl,-1,0,23,23,23,0,28,2,2,2,2,0,1,4,10,0.0379999876022339,0,32-bit Generic,Variable-step,normal,28,2,2,0,0,,,0
25,100999374,unsafe_1.mdl,workdirtmp\cocoSim2-master\examples\properties\unsafe_1.mdl,-1,0,17,17,17,0,18,2,2,2,2,0,1,3,10,0.031000018119812,0,32-bit Generic,Variable-step,normal,18,2,2,0,0,,,0
26,100999374,CoCoSimSpecification.slx,workdirtmp\cocoSim2-master\libs\contract\CoCoSimSpecification.slx,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,-1,-1,-1,-1,-1,N/A,N/A,-1
